id,Sweet,Sour,Texture,Sparkling,Localisation-kr,lat,lng,pourcent,Ingredients,Description,link,Fruit/vegetable,Nuts,name_kr,name,Ingredients_kr,description_kr,Localisation,image,region,region_kr,status
13,3,1,4,1,칠곡양조장,35.995,128.4017,6%,Rice,"With a 140-year tradition, its first sip has a banana flavor, hence the name Banana Makgeolli. Famous for appearing on 1 Night 2 Days.",N/A,No,No,칠곡 막걸리,Chilgok makgeolli,쌀,140년 전통. 첫 모금이 바나나향이 나서 바나나막걸리로 불린다. 1박2일 출연으로 유명해 졌다,Chilgok Brewery,N/A,Daegu,대구광역시,N/A
14,4,3,4,1,은척양조장,36.4104478,128.1590614,5%,Rice/ Wheat,"Unique bitterness from wheat flour, makes you crave food after drinking. Goes well with green onion pancakes.",N/A,No,No,은자골 탁배기,Eunja gol takbaegi,쌀/밀,원료인 밀가루에서 나오는 특유의 쓴맛. 먹고난 뒤 음식을 부른다. 파전과 잘 어울린다,Euncheok Brewery,https://res.cloudinary.com/dhwup3tvm/image/upload/v1742829403/455706694_2387218954807089_5338081682499632743_n_pxhwz3_l8mfmk.png,Gyeongsangbuk-do,경상북도,N/A
15,2,2,3,1,비아쌀막걸리,35.1594647,126.8515034,6%,Rice,"Excellent savory taste and freshness, typical of traditional cloudy rice wine.",N/A,No,No,비아 쌀막걸리,Bia salmakgeolli,쌀,전통 탁주에서 느껴지는 감칠맛과 청량감이 뛰어남,Bia Rice Makgeolli,https://res.cloudinary.com/dhwup3tvm/image/upload/v1739478886/MakgeolliGuru/image_bottle/cefdoomqrefumaqpazlw.png,Gwangju,광주광역시,N/A
16,3,4,5,1,여수주조공사,34.7546257,127.659859,6%,Rice/ Wheat,"Representative makgeolli of Yeosu, with a balanced taste where no single flavor overpowers the others. Fresh and charming.",N/A,No,No,여수 생막걸리,Yeosu saengmakgeolli,쌀/밀,여수 대표 막걸리. 단맛/신맛 등이 어느 하나 튀지않는 맛. 상큼한 매력,Yeosu Brewing Company,N/A,Jeollanam-do,전라남도,N/A
17,4,2,3,0,삼산주조,34.5039172,126.594509,6도9도12도,Rice/ Glutinous rice,"A naturally fermented makgeolli made with domestically grown glutinous rice and non-glutinous rice, without synthetic sweeteners, offering a well-balanced harmony of sweetness and acidity with a smooth and rich body.",https://samsanjujo.co.kr/,No,No,해남삼산막걸리,Haenam Samsan makgeolli,쌀/찹쌀,합성감미료 없이 국내산 찹쌀과 맵쌀을 사용해 단맛과 산미의 조화가 균형적이고 바디감 또한 부드럽고 녹진한 생막걸리,Samsanjujo,https://res.cloudinary.com/dhwup3tvm/image/upload/v1743616467/haenam_ii4ua4.png,Jeollanam-do,전라남도,N/A
18,1,3,2,4,광주 무등산 막걸리,35.201796,126.8768088,6%,Rice,"Representative Makgeolli of Gwangju, Jeollanam-do. It has a good savory taste and a refreshing feel, featuring the characteristic smoothness of fresh makgeolli.",N/A,No,No,광주 무등산 막걸리,Gwangju mudungsan makgeolli,쌀,전남 광주의 대표 막걸리. 감칠맛과 청량감이 좋다. 생막걸리 특유의 부드러움.,Gwangju Mudeungsan Makgeolli,https://res.cloudinary.com/dhwup3tvm/image/upload/v1742829404/257971261_616604706187262_917545937580626781_n_mew9fc_o4th3f.png,Gwangju,광주광역시,N/A
19,3,2,3,1,눈부신자연애,35.86424,127.244,6%,Rice,"Representative makgeolli of Jeonju Makgeolli Alley. It is not stuffy, and it has a smooth finish when drunk. The harmony of sourness, sweetness, and carbonation is well-balanced.",N/A,No,No,천둥소리 생막걸리,Cheondongso ri saengmakgeolli,쌀,전주 막걸리골목의 대표 막걸리 텁텁하지않고 목넘김이 부드럽다. 신맛/단맛/탄산의 조화가 좋다,Shining Nature Brewery,N/A,Jeollabuk-do,전라북도,N/A
20,4,1,5,1,죽향도가,34.8159,126.4629,6%,Organic rice/ Honey,"Makgeolli made from organic, non-pesticide rice. It has a clean aftertaste without forced sweetness.",N/A,No,No,대대포 생막걸리,Daedaepo saengmakgeolli,유기농쌀/벌꿀,유기농/무농약쌀로 빚은 막걸리. 억지스러운 단맛없이 깔끔한 뒷맛,Jukhyang Brewery,https://res.cloudinary.com/dhwup3tvm/image/upload/v1739478889/MakgeolliGuru/image_bottle/lnxajl5wuoxsvxjyosso.png,Jeollanam-do,전라남도,N/A
21,2,1,3,1,태인합동주조,35.5697678,126.8559787,6%,Rice,It has a low sweetness and a refreshing taste of authentic makgeolli because it does not contain artificial sweeteners. It has a solid body.,N/A,No,No,송명섭 막걸리,Songmyeongseob makgeolli,쌀,합성감미료가 들어있지 않아 단맛이 적고 시금털털한 막걸리 본연의 맛.바디감이 묵직하다,Taein Cooperative Brewery,https://res.cloudinary.com/dhwup3tvm/image/upload/v1742829402/261103959_942873016631369_6367203898991858008_n_tvur6g_kq94kc.png,Jeollabuk-do,전라북도,N/A
22,3,2,2,2,전주주조,35.8237631,127.1472805,5.5,Rice,Makgeolli loved in the Jeonju area. It has a clean and smooth taste.,N/A,No,No,전주 생막걸리,Jeonju saengmakgeolli,쌀,전주지역에서 사랑받는 막걸리. 맛이 깔끔하고 부드럽다,Jeonju Brewery,N/A,Jeollabuk-do,전라북도,N/A
23,3,2,3,2,산에들에,35.6755,127.10961,6%,Rice,"Light and clean taste of rice makgeolli. It has a prominent but subtly perceived sourness, which is pleasant.",N/A,No,No,천지주가 생막걸리,Cheonji jukga saengmakgeolli,쌀,쌀 막걸리의 가볍고 깔끔한 맛이 나며/ 단맛이 두드러지고 약하게 느껴지는 산미가 좋은 막걸리,San & Deul Brewery,https://res.cloudinary.com/dhwup3tvm/image/upload/v1739478886/MakgeolliGuru/image_bottle/gvlnf8xo4ehii6talkbq.png,Jeollabuk-do,전라북도,N/A
24,3,2,3,2,양촌양조,37.45646,126.70515,6%,Rice/ Wheat,"It has a subtle apple scent, a smooth finish, and an endless savory taste.",N/A,No,No,양촌 생막걸리,Yangchon saengmakgeolli,쌀/밀,은은한 사과향이 나며 부드러운 목넘김과 뒤끝없는 감칠맛,Yangchon Brewery,N/A,Incheon,인천광역시,N/A
25,3,2,3,4,대전주조,36.29797,127.45291,8%,Rice/ Wheat flour,"Representative makgeolli of Daejeon. It has good refreshment, a deep taste, and a smooth body.",N/A,No,No,원생막걸리,Wonsaengmakgeolli,쌀/밀가루,대전의 대표 막걸리. 청량감이 좋고/ 구수한 맛이나며 걸쭉한 바디감이 느껴진다,Daejeon Brewery,https://eth2.pcloud.com/tLZqbFOXwZJ2iFZUbljZZ1U8CXkZLz5ZJZ7ZUXZUXZm5ZqpZMpZKczCoOybvgRowuJCdsLKXSetXLAk,Daejeon,대전광역시,N/A
26,3,1,2,1,사곡양조원,36.5359891,127.0324459,6%,Rice/ Wheat flour/ Chestnut,It has a subtle nutty scent and the unique tangy taste of makgeolli. Even those who are not accustomed to drinking makgeolli can enjoy it comfortably.,N/A,No,Yes,공주알밤막걸리,Gongju albam makgeolli,쌀/밀가루/밤,밤향이 그윽하면서도 막걸리 특유의 새콤한맛. 막걸리 잘 못마시는 사람도 친근하게 마실수 있다.,Sagok Brewing Garden,https://eth2.pcloud.com/tLZKjcxXwZTz3ZUbljZZPI4CXkZLz5ZJZ7ZUXZUXZa5Zw0Z6JZfzAlULocqPm7XMGQ9EmpKz3zBzQy,Chungcheongbuk-do,충청북도,N/A
27,3,2,3,3,신평양조,36.91667,126.66667,6%,Rice/ Lotus leaf,A subtle scent of lotus leaf that is not strong but noticeable. The harmony of sourness and sweetness is well-balanced.,N/A,Yes,No,백련 생막걸리,Baekryeon saengmakgeolli,쌀/백련잎,강하지는 않지만 은근히 느껴지는 연잎향.산미 감미의 조화가 좋다,Sinpyeong Brewery,N/A,Chungcheongnam-do,충청남도,N/A
28,3,4,3,4,진천덕산양조(주),36.89585,127.50616,6%,Wheat,"Representative makgeolli of Jincheon, Chungcheongbuk-do. It has a clean taste and smooth finish. It appeared in Sikgaek by Yeongman Heo.",N/A,No,No,덕산막걸리,Deoksanmakgeolli,밀,충북 진천 지역의 대표 막걸리. 맛이 깔끔하고 목넘김이 부드럽다. 허영만화백의 식객에 등장하는 막걸리,"Jincheon Deoksan Brewery Co., Ltd.",https://res.cloudinary.com/dhwup3tvm/image/upload/v1742830568/285481523_429219885787373_7231950901098272519_n_ov6qhn.png,Chungcheongbuk-do,충청북도,N/A
29,3,4,3,2,군북양조장,36.35374,127.56275,6%,Wheat,"Traditional makgeolli from Okcheon, Chungcheongbuk-do. The harmony of sweetness and sourness is well-balanced, making it enjoyable for most palates.",N/A,No,No,증약 생막걸리,Jeungyak saengmakgeolli,밀,충북 옥천 지역의 전통있는 막걸리. 단맛과 신맛의 조화가 좋아 호불호가 거의 없는 막걸리,Gunbuk Brewery,N/A,Daejeon,대전광역시,N/A
30,3,3,2,3,대강양조장,36.86494,128.37943,6%,Rice/ Wheat,"A combination of the refreshing taste of rice and the rich taste of wheat, blended in the golden ratio. It was regularly ordered by President Roh Moo-hyun at the Blue House.",N/A,No,No,대강막걸리,Daegang makgeolli,쌀/밀,쌀과 밀의 황금비율로 쌀의 산뜻한 맛과 밀의 구수한 맛의 결합. 노무현대통령이 청와대에서 정기적으로 주문하던 막걸리,Daegang Brewery,N/A,Gyeongsangbuk-do,경상북도,N/A
31,2,4,2,2,주문진탁주합동,37.3411583,127.9598986,6%,Rice,You can feel the sweet and savory flavor of rice while drinking it. It has a good finish.,N/A,No,No,주문진 쌀 동동주,Jumunjin sal dongdongju,쌀,달달하면서 고소한 쌀의 풍미를 느낄 수 있다. 목넘김이 좋다,Jumunjin Takju Cooperative,https://res.cloudinary.com/dhwup3tvm/image/upload/v1739478882/MakgeolliGuru/image_bottle/kih1c1zpttbm8nsgjoeu.png,Gyeonggi-do,경기도,N/A
32,4,2,3,4,원주탁주합동,37.3420996,127.9197603,7%,Rice/ Wheat flour,"It boasts a clean taste without being too sweet or bitter, staying true to the original taste of makgeolli.",N/A,No,No,치악산 생막걸리,Chiaksan saengmakgeolli,쌀/밀가루,막걸리 본연의 맛에 충실하여 달거나 쓰지않고 깔끔한 맛을 자랑한다,Wonju Takju Cooperative,https://res.cloudinary.com/dhwup3tvm/image/upload/v1739478881/MakgeolliGuru/image_bottle/aiumoj7bo0cnhfnyy0rf.png,Gyeonggi-do,경기도,N/A
33,2,3,2,3,고성탁주,37.885,127.7297,7%,Rice/ Wheat flour,"It has a good color and scent, with the sweetness well blended.",N/A,No,No,설악 쌀막걸리,Seorak salmakgeolli,쌀/밀가루,색과 향이 좋고 단맛이 잘 배어있다,Goseong Takju Brewery,https://res.cloudinary.com/dhwup3tvm/image/upload/v1739478885/MakgeolliGuru/image_bottle/hcy3qnqva6gm0mniv7je.png,Gangwon-do,강원도,N/A
34,4,4,3,2,양양민속도가,38.12664,128.5605,8%,Rice,The subtle scent of pine mushrooms is present in the rich taste of dongdongju.,N/A,No,No,양양 송이동동주,Yangyang songidongdongju,쌀,구수한 동동주 맛에 송이향이 은근히 느껴진다,Yangyang Folk Brewery,N/A,Gangwon-do,강원도,N/A
35,3,1,3,3,낙천주류,37.5245142,129.1146302,5%,Rice,"It has a fragrant aroma and a clean finish, making the drinking experience smooth.",N/A,No,No,지장수 생막걸리,Jijangsu saengmakgeolli,쌀,향기롭고 뒷맛이 깔끔하여 목넘김이 부드럽니다,Nakcheon Liquor,https://res.cloudinary.com/dhwup3tvm/image/upload/v1742829402/269466780_2711834742457148_9112703021307013651_n_athetg_q8hzeo.png,Gangwon-do,강원도,N/A
36,1,4,2,3,한스팜,37.62716,128.44488,6%,Rice/ Wheat/ Buckwheat,"Makgeolli containing buckwheat, a specialty of Pyeongchang. The scent of buckwheat subtly rises.",N/A,No,No,평창 봉평 메밀막걸리,Pyeongchang bongpyeong memilmakgeolli,쌀/밀/메밀,평창의 특산물 메밀이 함유된 막걸리.메밀향이 은근하게 올라온다,Hans Farm,https://res.cloudinary.com/dhwup3tvm/image/upload/v1739478884/MakgeolliGuru/image_bottle/cun2sohqaboobdh0oqgh.png,Gangwon-do,강원도,N/A
37,3,3,1,3,(주)화천주가,38.1063,127.708,6%,Rice,"It has an apple scent, and the sourness and sweetness are harmonious. It is a smooth makgeolli to drink.",N/A,No,No,화천 산천어 생막걸리,Hwacheon sancheoneo saengmakgeolli,쌀,사과향이 나고 신맛과 단맛이 조화롭다. 목넘김이 부드러운 막걸리,"Hwacheon Brewery Co., Ltd.",https://res.cloudinary.com/dhwup3tvm/image/upload/v1739478884/MakgeolliGuru/image_bottle/jfbezqikblxae7csf1tn.png,Gangwon-do,강원도,N/A
38,5,5,3,3,고양탁주,37.6600889,126.8268991,6%,Rice/ Glutinous rice,Liquor brought to Pyongyang during the inter-Korean summit. It has less sourness and a rich taste. It is a makgeolli that can be enjoyed cool.,N/A,No,No,배다리 막걸리,Baedarimakgeolli,쌀/팽화미,남북정상회담 때 평양에 간 술. 신맛이 덜하고 감칠맛이 난다. 시원하게 마실 수 있는 막걸리,Goyang Takju Brewery,https://res.cloudinary.com/dhwup3tvm/image/upload/v1739478885/MakgeolliGuru/image_bottle/zhqhycmyeayhylq73nmq.png,Gyeonggi-do,경기도,N/A
39,4,2,3,5,배혜정도가,37.1603631,126.9713854,6%,Rice,Smooth acorn flavor and moderate sourness. It has smooth carbonation for a good finish.,N/A,No,No,화성 호랑이 생막걸리,Hwaseong horangi saengmakgeolli,쌀,부드러운 닷맛과 적당한 산미. 부드러운 탄산으로 목넘김이 좋다,Bae Hyejeong Brewery,N/A,Gyeonggi-do,경기도,N/A
40,3,2,3,2,지평주조,37.4916,127.4875,5%,Rice/ Wheat,The flavors of rice and yeast are well balanced. It has a smooth and clean taste.,N/A,No,No,양평 지평 생막걸리,Yangpyeong jipyeong saengmakgeolli,쌀/밀,쌀과 누룩의 풍미가 적당히 잘 잡혀있다.목넘김이 부드럽고 깔끔한 맛,Jipyeong Brewery,N/A,Gyeonggi-do,경기도,N/A
41,2,1,3,3,주)우리술,37.83101,127.51059,6%,Rice/ Pine nuts,"Selected as the official banquet makgeolli of the Blue House. It is smooth and clean, recommended to be shaken before drinking.",https://woorisool.kr/,No,Yes,가평 잣생막걸리,Gapyeong jatsaengmakgeolli,쌀/잣,청와대 공식만찬주로 선정 맛이 부드럽고 깔끔 흔들어 먹기를 추천,"Woori Sul Co., Ltd.",https://res.cloudinary.com/dhwup3tvm/image/upload/v1742830574/272882858_484307846404296_10379714776018777_n_tnd1wb.png,Gyeonggi-do,경기도,N/A
42,1,5,3,3,인천탁주,37.5217893,126.7076232,6%,Rice/ Glutinous rice,"Representative makgeolli of Incheon. It has a refreshing coolness with smooth and fizzy carbonation, and its unique savory taste is charming.",https://sosungju.modoo.at/,No,No,인천 생소성주,Incheon saengsoseongju,쌀/팽화미,인천지역 대표막걸리. 부드럽고 톡쏘는 탄산의 상쾌한 청량감이 느껴지며/ 특유의 감칠맛이 매력적이다.,Incheon Takju Brewery,https://res.cloudinary.com/dhwup3tvm/image/upload/v1739478884/MakgeolliGuru/image_bottle/lhxg3gx6rnhy1vnmdm5q.png,Incheon,인천광역시,N/A
43,3,2,3,3,서울탁주,37.5563945,126.9003339,6%,Rice 90%,Representative makgeolli of Seoul. It has a good savory taste and a refreshing feel.,http://www.koreawine.co.kr/,No,No,서울 장수 생막걸리,Seoul jangsu saengmakgeolli,쌀90%,서울지역 대표막걸리. 감칠맛과 청량감이 좋다,Seoul Takju Brewery,https://res.cloudinary.com/dhwup3tvm/image/upload/v1739478883/MakgeolliGuru/image_bottle/s5limgfrt4momxuxybyb.png,Seoul,서울특별시,N/A
44,2,4,3,1,탁주배금도가(경북 김천),36.5754,128.5058,12%,Glutinous rice/ Glutinous rice/ Yeast,"Chapssal makgeolli, filled with the flavor of Korea, driven by the allure of alcohol. Pairs well with sea squirts.",N/A,No,No,김천 배금도가,Gimcheon baegumdo ga,찹쌀/맵쌀/누룩,술이 주는 이끌림으로 한국의 풍미 가득 담은 찹쌀막걸리. good with 멍게,"Baegum Takju Brewery (Gimcheon, Gyeongbuk)",N/A,Gyeongsangbuk-do,경상북도,N/A
45,3,3,5,0,국순당,37.566,126.9784,14.5%,Rice,"Super thick and creamy, like yogurt.",http://www.ksdb.co.kr/,No,No,Ehwaju Makgeolli – 이화주,Ehwaju Makgeolli – ihwaju,쌀,요거트처럼 아주,Kooksoondang Brewery,https://res.cloudinary.com/dhwup3tvm/image/upload/v1742830568/298936037_508932564371231_3452378739138407648_n_w1srhi.png,Seoul,서울특별시,N/A
46,3,1,3,5,지평주조 - 양평,37.48972,127.49056,5%,Rice,N/A,https://grand.ggtour.or.kr/En/Grand/tour_view.php?tsort=20&msort=24&list_type=1&no=380&no2=380,No,No,지평생막걸리,Jipyeongsaengmakgeolli,쌀,N/A,Jipyeong brewery - yangpyeong,https://res.cloudinary.com/dhwup3tvm/image/upload/v1739478884/MakgeolliGuru/image_bottle/onmgieqxihaetfqvkkxb.png,Gyeonggi-do,경기도,N/A
47,5,1,3,3,서울 장수,36.97376,127.42299,5%,Rice/ Honey/ Nuts butter,N/A,N/A,No,Yes,HBAF Honey Butter Almond makgeolli,HBAF Honey Butter Almond makgeolli,쌀/꿀/견과 버터,N/A,Seoul jangsoo,N/A,Chungcheongbuk-do,충청북도,N/A
48,2,3,3,1,맵시 - 먹진 양조장,37.72975,126.63616,6%,Rice,N/A,https://mapcy.kr/,No,No,Mapcy original whitelabel,Mapcy original whitelabel,쌀,N/A,Mapcy - Meokjin brewery,https://res.cloudinary.com/dhwup3tvm/image/upload/v1739478884/MakgeolliGuru/image_bottle/phqgjcnhpn8gjsl2isz6.png,Gyeonggi-do,경기도,N/A
49,4,2,3,4,맵시 - 먹진 양조장,37.72976,126.63617,5%,Rice/ Vanilla,N/A,https://mapcy.kr/,Yes,No,Mapcy vanilla red label,Mapcy vanilla red label,쌀/바닐라,N/A,Mapcy - Meokjin brewery,https://res.cloudinary.com/dhwup3tvm/image/upload/v1739478884/MakgeolliGuru/image_bottle/phqgjcnhpn8gjsl2isz6.png,Gyeonggi-do,경기도,N/A
50,2,3,3,3,포천탁주양조장,37.89243,127.28825,6%,Rice,N/A,https://www.soolsool.co.kr/,No,No,포천일동막갈리 1932,Pocheoneildongmakgalri 1932,쌀,N/A,Pocheon takju Brewery,https://res.cloudinary.com/dhwup3tvm/image/upload/v1739478885/MakgeolliGuru/image_bottle/d8vdbqqx8vf6ky18vk6j.png,Gangwon-do,강원도,N/A
51,3,2,1,4,서울,37.5666791,126.9782914,5%,Rice,N/A,N/A,No,No,장수 생막걸리,Jangsu saengmakgeolli,쌀,N/A,Seoul,N/A,Seoul,서울특별시,N/A
52,3,2,1,0,담양,35.320878,126.9883238,6%,Rice,"The taste of tradition, reminiscent of the dew brushed by the leaves!",http://jhdg.co.kr,No,No,죽향도가,Jukhyangdoga,쌀,댓잎을 스치는바람 이슬 닮은 전통의 맛!,Damyang,https://eth4.pcloud.com/tLZqjcxXwZbQTZUbljZZ4V8CXkZLz5ZJZ7ZUXZUXZ6VZAXZDLZbuz45hw0YWHilPHbERsOKJGOtL07,Jeollanam-do,전라남도,N/A
53,3,2,2,1,여수 - 개도,34.6398737,126.013011,6%,Rice,N/A,N/A,No,No,개도 막걸리,Gaedo makgeolli,쌀,N/A,Yeosu - Gaedo,https://res.cloudinary.com/dhwup3tvm/image/upload/v1739478882/MakgeolliGuru/image_bottle/kih1c1zpttbm8nsgjoeu.png,Jeollanam-do,전라남도,N/A
54,2,3,3,0,여수,34.7546257,127.659859,6%,Rice,The taste of 100 years of tradition.,yeosuwine.co.kr,No,No,니가있어 설레었던 여수밤바다,Neigaiss-eo seolleeossdeon yeosubam bada,쌀,100년 전통의 맛,Yeosu,https://res.cloudinary.com/dhwup3tvm/image/upload/v1739478885/MakgeolliGuru/image_bottle/rndorg98detn9yhjsza8.png,Jeollanam-do,전라남,N/A
55,3,2,2,1,여수 - 금오도,34.75,127.659859,6%,Rice,N/A,N/A,No,No,금오도방풍막걸리,Geumodobangpung makgeolli,쌀,N/A,Yeosu - Geumodo,https://res.cloudinary.com/dhwup3tvm/image/upload/v1739478890/MakgeolliGuru/image_bottle/nqu7qvrhebfszss7nroa.png,Jeollanam-do,전라남도,N/A
56,4,3,1,1,강원도,37.885,127.72,5.8%,Rice,Rice makgeolli brewed with three fermentations for a smooth flavor.,N/A,No,No,국순당 쌀막걸리,Guksundang salmakgeolli,쌀,세 번의 발효로 부드러운 풍미를 더해 빚은 쌀막걸리,Gangwondo,https://res.cloudinary.com/dhwup3tvm/image/upload/v1739478888/MakgeolliGuru/image_bottle/pl8wtu4ok12whlovnfsa.png,Gyeonggi-do,경기도,N/A
57,2,5,2,5,울산,35.58897,129.056,6%,Rice,"The champagne of makgeolli, Boksoondoga is lively with a delicate effervescence.",https://www.boksoon.com/,No,No,Boksoondoga,Boksoondoga,쌀,막걸리의 샴페인입니다. 복순도가는 부드럽고 활기찬 탄산이 느껴집니다.,Ulsan,https://res.cloudinary.com/dhwup3tvm/image/upload/v1739478888/MakgeolliGuru/image_bottle/yydsy02ytnyjzcaa9c74.png,Busan,부산,N/A
58,3,2,3,0,경주,35.771143,129.3066428,6%,Rice (20% polished),"Made with 20% polished rice, it has a good aroma and is mild. A clean and refreshing makgeolli with good clarity.",N/A,No,No,경주법주 쌀 막걸리,Gyeongjubeopju sal makgeolli,쌀(20%도정),20% 도정한 쌀 사용. 향이 좋고 담백하다. 깨끗함과 청량감이 좋은 막걸리,Gyeongju,https://res.cloudinary.com/dhwup3tvm/image/upload/v1742829403/292693028_564297805328337_5489330902306674221_n_nigxyz_ssgump.png,Busan,부산,N/A
59,4,2,3,0,남양 - 경기,37.7507816,127.2259916,10%,Rice,A strong acidity that revitalizes the dulled palate.,N/A,No,No,봇플 막걸리,Botpeul makgeolli,쌀,떨어진 입맛 찾아주는 강렬한 산미,Namyang - Gyeonggi,N/A,Gyeonggi-do,경기도,N/A
